File,Line Start,Line End,Section,Purpose/Description
cycleTimeMoni.py,418,422,Route,"@app.route('/manpower') -> manpower() - serves manpower.html"
cycleTimeMoni.py,424,428,Route,"@app.route('/cycle_graph') -> cycle_graph() - serves cycle_graph.html"
cycleTimeMoni.py,430,434,Route,"@app.route('/line_trend') -> line_trend() - serves line_trend.html"
cycleTimeMoni.py,436,449,Route,"@app.route('/material_setter') -> material_setter() - serves material_setter.html with db_type param (toritani or falsetest)"
cycleTimeMoni.py,451,480,Config,"KITTING_MATERIAL_CATEGORIES dict - maps 26 row numbers to material category keywords for matching"
cycleTimeMoni.py,482,546,API,"getQuantityAndSuffix() - POST API to fetch qty and suffix from Toritani SQL or CSV fallback with 3 retries"
cycleTimeMoni.py,548,712,API,"get_tori_sql() - GET API to fetch materials from Toritani SQL or CSV; matches descriptions to kitting categories; returns structured material data"
cycleTimeMoni.py,714,718,API,"blockLocalDb() - GET API to set isToriMode=True (blocks local DB during JO scan)"
cycleTimeMoni.py,720,724,API,"unblockLocalDb() - GET API to set isToriMode=False (unblocks local DB after JO scan)"
cycleTimeMoni.py,726,752,API,"submit_material_data() - POST API to save material setter data to MATERIAL_SETTER table in MySQL"
cycleTimeMoni.py,754,774,API,"clear_main_db() - POST API to clear all MAIN_DB records for a job order"
cycleTimeMoni.py,776,797,API,"save_main_db() - POST API to save materials to MAIN_DB table"
cycleTimeMoni.py,799,813,API,"get_main_db() - GET API to retrieve materials from MAIN_DB for a job order"
cycleTimeMoni.py,815,824,API,"get_all_main_db() - GET API to get all materials from MAIN_DB (for Total Quantity Monitor auto-refresh)"
cycleTimeMoni.py,826,874,API,"complete_kitting() - POST API to complete a kitting: save to KITTING_DB, material tables, joborder_plan, and update MAIN_DB remaining qty"
cycleTimeMoni.py,876,890,API,"get_kitting_db() - GET API to get all kitting records from KITTING_DB for a job order"
cycleTimeMoni.py,892,916,API,"save_kitting_summary() - POST API to save kitting summary data (mirrors browser display)"
cycleTimeMoni.py,918,937,API,"clear_kitting_summary() - POST API to clear kitting summary data for a job order"
cycleTimeMoni.py,939,947,API,"get_all_kitting_summary() - GET API to get all kitting summary data (no filter)"
cycleTimeMoni.py,950,963,API,"reset_kitting_summary_ids() - POST API to reset kitting_summary IDs to sequential order"
cycleTimeMoni.py,964,978,API,"get_kitting_summary() - GET API to get kitting summary data for a job order"
cycleTimeMoni.py,983,997,API,"get_next_kitting_no() - GET API to get next kitting number for a job order"
cycleTimeMoni.py,999,1013,API,"fix_main_db() - POST API to fix existing MAIN_DB lot_qty data"
cycleTimeMoni.py,1015,1048,API,"save_joborder_plan() - POST API to save joborder_plan record when kitting QR scanned"
cycleTimeMoni.py,1050,1064,API,"get_joborder_plan() - GET API to get all joborder_plan records for a job order"
cycleTimeMoni.py,1066,1080,API,"get_joborder_plan_latest() - GET API to get latest joborder_plan record"
cycleTimeMoni.py,1082,1101,API,"clear_joborder_plan() - POST API to clear all joborder_plan records for a job order"
cycleTimeMoni.py,1103,1118,Config,"SETTINGS_FILE and KITTING_MATERIALS_FILE paths for persisting material setter settings"
cycleTimeMoni.py,1119,1130,Config,"MODEL_CODES_FILE and CUSTOM_TESTS_FILE paths"
cycleTimeMoni.py,1131,1147,Utility,"load_settings_file() and save_settings_file() - read/write material setter settings JSON"
cycleTimeMoni.py,1149,1156,API,"get_settings() - GET API to return all material setter settings"
cycleTimeMoni.py,1158,1175,API,"save_jo_database() - POST API to save JO database type setting (toritani or falsetest)"
cycleTimeMoni.py,1176,1192,API,"save_materials_path() - POST API to save materials file path setting"
cycleTimeMoni.py,1193,1213,API,"save_latency() - POST API to save latency value setting"
cycleTimeMoni.py,1214,1248,API,"save_elapsed_time_settings() - POST API to save elapsed time display settings"
cycleTimeMoni.py,1249,1261,API,"save_qr_hide_setting() - POST API to save QR code hide/show setting"
cycleTimeMoni.py,1262,1275,API,"get_elapsed_time_settings() - GET API to retrieve elapsed time display settings"
cycleTimeMoni.py,1276,1295,API,"save_page_title() / get_page_title() - POST/GET API for browser tab title setting"
cycleTimeMoni.py,1296,1335,API,"save_sub_columns() / get_sub_columns() - POST/GET API for sub-column visibility settings"
cycleTimeMoni.py,1336,1374,API,"save_column_headers() / get_column_headers() - POST/GET API for column header text settings"
cycleTimeMoni.py,1375,1410,API,"save_action_buttons() / get_action_buttons() - POST/GET API for action button visibility settings"
cycleTimeMoni.py,1411,1435,API,"save_ref_kitting_format() / get_ref_kitting_format() - POST/GET API for kitting reference format (text or text_and_num)"
cycleTimeMoni.py,1436,1460,API,"save_row_count() / get_row_count() - POST/GET API for material row count setting"
cycleTimeMoni.py,1462,1488,API,"get_model_codes() / add_model_code() / delete_model_code() - CRUD APIs for model codes without bushing"
cycleTimeMoni.py,1490,1510,API,"get_kitting_materials() - GET API to return saved kitting material names from JSON"
cycleTimeMoni.py,1512,1538,API,"save_kitting_materials() - POST API to save kitting material names to JSON"
cycleTimeMoni.py,1540,1574,API,"save_generate_csv() - POST API to save CSV export options and optionally generate CSV file"
cycleTimeMoni.py,1576,1627,API,"export_csv_now() - POST API for immediate CSV export with current settings"
cycleTimeMoni.py,1628,1640,Config,"CUSTOM_TESTS_FILE path and load/save functions for custom self-test definitions"
cycleTimeMoni.py,1641,1676,API,"get_custom_tests() - GET API to return saved custom test definitions from JSON"
cycleTimeMoni.py,1677,1694,API,"save_custom_tests() - POST API to save custom test definitions to JSON"
cycleTimeMoni.py,1695,1782,API,"run_self_test() - POST API to run built-in or custom functional tests (15 built-in test types + custom DB tests)"
cycleTimeMoni.py,1784,1826,API,"force_daily_reset() - POST API to manually trigger full daily reset (clear all state and manpower)"
cycleTimeMoni.py,1828,1875,API,"start_process() - POST API to handle START button; validates upstream process, starts server timer, increments counter"
cycleTimeMoni.py,1876,1911,API,"stop_process() - POST API to handle STOP button; calculates elapsed time, inserts record to DB, clears timer"
cycleTimeMoni.py,1913,1960,API,"ng_process() - POST API to handle NG button; validates upstream, inserts record with pass_ng=0, blocks counter"
cycleTimeMoni.py,1961,1997,API,"ng_lineout_process() - POST API to handle NG LINEOUT; inserts record with lineout_reason and pass_ng=0"
cycleTimeMoni.py,1998,2044,API,"lineout_process() - POST API to handle LINEOUT; inserts record with lineout_reason"
cycleTimeMoni.py,2046,2069,API,"get_process_records() - GET API to get process records for a specific process"
cycleTimeMoni.py,2070,2085,API,"get_standard_times() - GET API to get all standard times"
cycleTimeMoni.py,2086,2097,API,"get_standard_time() - GET API to get standard time for a specific process"
cycleTimeMoni.py,2098,2121,API,"update_standard_time() - POST API to update standard time and title for a process"
cycleTimeMoni.py,2122,2145,API,"add_process() - POST API to add a new process with standard time"
cycleTimeMoni.py,2146,2169,API,"delete_process() - POST API to delete a process (only processes > 9)"
cycleTimeMoni.py,2170,2193,API,"check_manpower_complete() - GET API to check if all processes have operators assigned"
cycleTimeMoni.py,2194,2217,API,"get_manpower() - GET API to get all manpower records"
cycleTimeMoni.py,2218,2241,API,"get_manpower_by_process() - GET API to get manpower for a specific process"
cycleTimeMoni.py,2242,2277,API,"get_cycle_graph_data() - GET API to get average elapsed time per process for bar chart"
cycleTimeMoni.py,2278,2325,API,"get_line_trend_data() - GET API to get per-kitting elapsed time records for line trend chart (today only, with job order reset filter)"
cycleTimeMoni.py,2326,2361,API,"update_manpower() - POST API to update operator data (manual entry or scan)"
cycleTimeMoni.py,2362,2409,API,"operator_out() - POST API to handle operator OUT (clear manpower, record OUT reason, update time_out)"
cycleTimeMoni.py,2410,2433,API,"get_out_reasons() - GET API to get all OUT reasons from bio_break table"
cycleTimeMoni.py,2434,2457,API,"add_out_reason() - POST API to add a custom OUT reason"
cycleTimeMoni.py,2458,2481,API,"delete_out_reason() - POST API to delete an OUT reason"
cycleTimeMoni.py,2482,2505,API,"get_lineout_reasons() - GET API to get all LINE OUT reasons"
cycleTimeMoni.py,2506,2529,API,"add_lineout_reason() - POST API to add a custom LINE OUT reason"
cycleTimeMoni.py,2530,2553,API,"delete_lineout_reason() - POST API to delete a LINE OUT reason"
cycleTimeMoni.py,2554,2601,API,"in_line_process() - POST API to handle IN-LINE action (resume after lineout with in_line_reason and repaired_action)"
cycleTimeMoni.py,2602,2625,API,"get_in_line_reasons() - GET API to get all IN-LINE reasons"
cycleTimeMoni.py,2626,2649,API,"add_in_line_reason() - POST API to add a custom IN-LINE reason"
cycleTimeMoni.py,2650,2673,API,"delete_in_line_reason() - POST API to delete an IN-LINE reason"
cycleTimeMoni.py,2674,2697,API,"get_repaired_actions() - GET API to get all REPAIRED ACTION reasons"
cycleTimeMoni.py,2698,2721,API,"add_repaired_action() - POST API to add a custom REPAIRED ACTION reason"
cycleTimeMoni.py,2722,2745,API,"delete_repaired_action() - POST API to delete a REPAIRED ACTION reason"
cycleTimeMoni.py,2746,2769,API,"stop_repaired_process() - POST API to stop a repaired process (same as stop_process but with repaired flag)"
cycleTimeMoni.py,2770,2815,API,"receive_arduino_signal() - POST API to receive Arduino serial signals; handles server-side timer start/stop with manpower and upstream validation"
cycleTimeMoni.py,2816,2841,API,"get_arduino_signal() - GET API for browser polling of pending Arduino signals"
cycleTimeMoni.py,2842,2865,API,"get_server_timer() - GET API to get current server-side timer state for a process"
cycleTimeMoni.py,2866,2889,API,"sync_counter() - POST API to sync kitting counter value between browser and server"
cycleTimeMoni.py,2890,2913,API,"clear_server_timer() - POST API to clear server-side timer for a process"
cycleTimeMoni.py,2914,2937,API,"start_server_timer() - POST API to start server-side timer for a process"
cycleTimeMoni.py,2938,2949,API,"stop_server_timer() - POST API to stop server-side timer for a process"
cycleTimeMoni.py,2950,2961,API,"get_completed_count() - GET API to get completed record count for a process today"
cycleTimeMoni.py,2962,2985,API,"can_start_kitting() - GET API to check if a process can start (upstream validation)"
cycleTimeMoni.py,2986,2997,API,"get_all_active_timers() - GET API to get all currently active server timers"
cycleTimeMoni.py,2998,3009,API,"get_last_update() - GET API to get timestamp of last data update (for auto-refresh)"
cycleTimeMoni.py,3010,3021,API,"get_server_start_time() - GET API to get server start timestamp (for auto-reload detection)"
cycleTimeMoni.py,3022,3045,API,"block_counter() / is_counter_blocked() - POST/GET APIs to manage blocked kitting counters"
cycleTimeMoni.py,3046,3057,API,"get_blocked_counters() / clear_blocked_counters() - GET/POST APIs to retrieve and clear blocked counters"
cycleTimeMoni.py,3058,3081,API,"set_active_kitting() / clear_active_kitting() - POST APIs to manage active kitting assignments per process"
cycleTimeMoni.py,3082,3097,API,"is_kitting_active() / get_all_active_kittings() - GET APIs to check kitting status"
cycleTimeMoni.py,3098,3167,API,"get_process_state() - GET API for FULL STATE SYNC: returns counter, timer, blocked, active kittings, completed counts for a process"
cycleTimeMoni.py,3168,3182,API,"print_kitting_qr() - POST API to print QR code label to SATO PW208NX printer; api_list_printers() - GET API to list available printers"
cycleTimeMoni.py,3184,3198,Startup,"start_arduino_bridge() - launches arduino_bridge.py as background subprocess with --no-prompt flag"
cycleTimeMoni.py,3200,3218,Startup,"if __name__ == '__main__': load state files, check daily reset, initialize processes_started_today, connect DB, auto-start Arduino bridge, run Flask on 0.0.0.0:5000"
database_manager.py,1,4,Imports,"Import mysql.connector, Error, pooling, datetime, torisql"
database_manager.py,6,14,Class Init,"DatabaseManager.__init__() - set MySQL connection params: localhost:3306, root, database=cycle_time_monitoring"
database_manager.py,16,30,DB Connect,"connect() Part 1 - create temp connection without database, CREATE DATABASE IF NOT EXISTS cycle_time_monitoring"
database_manager.py,31,39,DB Connect,"connect() Part 2 - reconnect WITH database specified"
database_manager.py,41,58,Table Create,"Create process_records table: id, kitting_no, lineout_reason, in_line_reason, elapsed_time, pass_ng, timestamp, process_no"
database_manager.py,60,76,Table Create,"Create standard_times table: process_no (PK), standard_time DECIMAL(5,2), title. Alter column type if previously INT"
database_manager.py,78,104,Default Data,"Add title column if missing; insert default standard times and titles for processes 1-9"
database_manager.py,106,133,Table Create,"Create manpower table: process_no, id_no, operator_name, employment_status, operator_manual, operator_scan. Add new columns if missing. Insert defaults"
database_manager.py,135,155,Table Create,"Create bio_break table for operator OUT reasons; migrate old out_reasons table; insert defaults (CR, CLINIC, GO TO OTHER LINE, EMERGENCY, SENT HOME)"
database_manager.py,157,190,Table Create,"Create lineout_reasons, in_line_reasons, repaired_actions tables with default LINE OUT reasons"
database_manager.py,192,230,Table Create,"Create kitting_material table (23 rows) with default categories (Frame Block, EM Block, Spacer, etc.)"
database_manager.py,232,280,Table Create,"Create MAIN_DB table (material setter current state) and KITTING_DB table (kitting completion records)"
database_manager.py,282,323,Table Create,"Create kitting_summary table; drop old/unused columns; add new columns if missing"
database_manager.py,325,344,Table Create,"Create joborder_plan table for tracking kitting progress per job order"
database_manager.py,346,406,Table Create,"Create 26 material-specific tables (01tbl_frame_zam through 26tbl_filter_bush); add qty_kit column if missing"
database_manager.py,408,469,Table Alter,"Add columns to process_records and KITTING_DB; create per-process tables (process_1 to process_9) with all columns"
database_manager.py,471,490,Migration,"Parse existing operator_scan data to populate id_no, operator_name, employment_status; commit and print success"
database_manager.py,492,508,Connection Pool,"get_connection() - creates/returns connection from pool (size=10); skips in Tori mode"
database_manager.py,510,591,CRUD,"insert_record() - insert record into process_records + per-process table (process_N) with operator name and time_in lookup"
database_manager.py,593,620,CRUD,"get_records_by_process() - query process_records for a specific process with limit"
database_manager.py,622,649,CRUD,"get_latest_record() - get most recent record for a process"
database_manager.py,651,669,CRUD,"get_completed_count() - count of completed records for a process today (DATE(timestamp)=CURDATE)"
database_manager.py,671,684,Connection,"close() and disconnect() - close DB connection and pool"
database_manager.py,686,707,CRUD,"get_all_standard_times() - query all standard times ordered by process_no"
database_manager.py,709,736,CRUD,"update_standard_time() - update standard_time and optional title for a process"
database_manager.py,738,767,CRUD,"add_new_process() - insert new process with next available process_no"
database_manager.py,769,798,CRUD,"delete_process() - delete process from standard_times and process_records (only processes > 9)"
database_manager.py,800,821,CRUD,"get_all_manpower() - query all manpower records ordered by process_no"
database_manager.py,823,867,CRUD,"update_manpower() - parse operator_scan into id_no/name/status, record time_in, update manpower table"
database_manager.py,869,889,CRUD,"clear_manpower() - clear all operator fields for a process (operator OUT)"
database_manager.py,891,928,CRUD,"get_out_reasons() / add_out_reason() - get/add OUT reasons from bio_break table"
database_manager.py,930,977,CRUD,"delete_out_reason() / update_out_reason() - delete OUT reason; update out_reasons in last record of process table"
database_manager.py,979,1027,CRUD,"update_time_out() / get_manpower_time_in() - set time_out on last process record; get time_in from manpower"
database_manager.py,1028,1086,CRUD,"get_lineout_reasons() / add_lineout_reason() / delete_lineout_reason() - CRUD for LINE OUT reasons"
database_manager.py,1088,1146,CRUD,"get_in_line_reasons() / add_in_line_reason() / delete_in_line_reason() - CRUD for IN-LINE reasons"
database_manager.py,1148,1206,CRUD,"get_repaired_actions() / add_repaired_action() / delete_repaired_action() - CRUD for REPAIRED ACTION reasons"
database_manager.py,1208,1253,Query,"get_cycle_graph_data() - AVG elapsed_time per process in M.SS format for bar chart"
database_manager.py,1255,1321,Query,"get_line_trend_data() - individual elapsed time records for line trend graph (today only, with optional after_timestamp filter)"
database_manager.py,1323,1327,DISABLED,"reset_records_only() - DISABLED function, SQL records are never deleted"
database_manager.py,1329,1369,Daily Reset,"reset_all_for_new_day() - daily reset: clear manpower only, preserve all SQL records"
database_manager.py,1371,1392,CRUD,"get_manpower_by_process() - get manpower for a specific process"
database_manager.py,1394,1417,Query,"has_records_today() - check if any process records exist for today"
database_manager.py,1419,1532,CRUD,"insert_material_setter() - upsert material setter data into MATERIAL_SETTER table with UNIQUE constraint on (job_order, row_no)"
database_manager.py,1534,1563,CRUD,"clear_main_db_for_job_order() - DELETE all MAIN_DB records for a specific job order"
database_manager.py,1565,1648,CRUD,"save_to_main_db() - INSERT or UPDATE materials in MAIN_DB with remaining_qty tracking; Bug D fix for falsy-zero"
database_manager.py,1650,1681,Query,"get_main_db_data() - SELECT all from MAIN_DB for a job order ordered by row_no"
database_manager.py,1683,1713,Query,"get_all_main_db_data() - SELECT all from MAIN_DB ordered by job_order and row_no"
database_manager.py,1715,1778,CRUD,"save_to_kitting_db() - INSERT kitting completion records into KITTING_DB with QR code data"
database_manager.py,1780,1825,Query,"get_kitting_db_data() - SELECT kitting records from KITTING_DB for a job order (optionally today only)"
database_manager.py,1827,1865,Query,"get_next_kitting_no() - SELECT MAX(kitting_no)+1 from KITTING_DB for a job order (all dates for continuity)"
database_manager.py,1867,1905,CRUD,"update_main_db_after_kitting() - UPDATE remaining_qty = remaining_qty - qty_used in MAIN_DB"
database_manager.py,1907,1943,CRUD,"fix_main_db_lot_qty() - compatibility fix function for lot_qty in MAIN_DB"
database_manager.py,1945,2015,CRUD,"save_kitting_summary() - upsert kitting summary data (INSERT ON DUPLICATE KEY UPDATE)"
database_manager.py,2017,2048,Query,"get_all_kitting_summary() - count of rows in kitting_summary (check if table has data)"
database_manager.py,2050,2089,Query,"get_kitting_summary() - SELECT kitting summary records for a job order ordered by row_no"
database_manager.py,2091,2122,CRUD,"clear_kitting_summary() - DELETE kitting summary records for a job order"
database_manager.py,2124,2176,Query,"get_latest_kitting_summary() - get records for the latest (max) kitting_no for a job order"
database_manager.py,2178,2313,CRUD,"save_to_material_tables() - save each material row to designated table (01-26); IMAGE 7 per-lot expansion for problematic rows"
database_manager.py,2315,2395,CRUD,"save_joborder_plan() - INSERT joborder_plan record: result increments, balance = plan - result"
database_manager.py,2397,2436,Query,"get_joborder_plan() - SELECT all joborder_plan records for a job order"
database_manager.py,2438,2478,Query,"get_joborder_plan_latest() - SELECT latest (max row_no) joborder_plan record"
database_manager.py,2480,2511,CRUD,"clear_joborder_plan() - DELETE all joborder_plan records for a job order"
database_manager.py,2513,2591,Maintenance,"reset_kitting_summary_ids() - backup data, TRUNCATE table (reset AUTO_INCREMENT), re-insert with sequential IDs"
database_manager.py,2593,2715,Self Test,"run_functional_test() - run database self-tests: problematic_row_insert, track_last_kitting, read_suffix, read_jo_qty, one_time_scan, suffix_both, operator_persist, custom"
torisql.py,1,8,Imports,"Import glob, re, pyodbc, pandas, os, datetime"
torisql.py,12,15,Globals,"Global flags: isToriMode=False, conn=None, cursor=None"
torisql.py,17,21,Utility,"setToriMode() - toggle isToriMode flag (blocks/unblocks local DB)"
torisql.py,23,38,DB Connect,"connect() - connect to MesDB on sqldb.hiblow.local via ODBC Driver 18 for SQL Server with SQL auth"
torisql.py,41,75,Query,"getJobOrderMaterials() - query test.test_v_JobMat_mst for materials matching job order; returns pandas DataFrame"
torisql.py,77,103,Query,"getJobOrderTotalQuantity() - query app.v_job_mst_hpi for qty_released and suffix; extracts suffix from raw barcode"
torisql.py,106,141,Utility,"preprocess_dataframe() - clean DataFrame: replace nulls, trim string columns, format datetime columns"
torisql.py,143,211,Export,"export_to_csv() - enhanced CSV export with metadata header, configurable encoding/index/format; returns file path and metadata"
torisql.py,213,224,Test,"Commented-out standalone test calls for connect/getJobOrderMaterials/getJobOrderTotalQuantity"
qr_printer.py,1,14,Imports,"Module docstring + imports: win32print, win32ui, qrcode, PIL (Image, ImageDraw, ImageFont, ImageWin)"
qr_printer.py,21,30,Utility,"get_sato_printer_name() - auto-detect SATO PW208NX from installed Windows printers by name matching"
qr_printer.py,33,38,Utility,"list_printers() - enumerate all available printers on the system"
qr_printer.py,45,76,Parser,"_parse_qr_data() - parse QR string 'DD/MM/YY-KITTING_NO JOB_ORDER' into date, kit_no, jo_no, suffix fields"
qr_printer.py,79,159,Image Builder,"build_qr_label_image() - generate PIL label image: header 'HIBLOW PHILIPPINES INC.', QR code left, DATE/KIT NO/JO NO/SUFFIX right"
qr_printer.py,166,214,Print,"print_kitting_qr_code() - print label to SATO PW208NX via Windows GDI (CreatePrinterDC, StartDoc, draw bitmap, EndDoc)"
qr_printer.py,218,220,Backward Compat,"print_kitting_qr_code_cpcl() - backward-compatible fallback, calls main GDI print function"
qr_printer.py,227,252,Standalone Test,"if __name__ == '__main__' - list printers, find SATO, print test QR code '04/06/26-0001 3J73802302'"
arduino_bridge.py,1,18,Imports,"Module docstring + imports: serial, serial.tools.list_ports, requests, time, sys, argparse"
arduino_bridge.py,20,21,Config,"FLASK_URL = 'http://127.0.0.1:5000' - Flask server target URL"
arduino_bridge.py,23,47,Utility,"find_arduino_port() - auto-detect Arduino COM port by description keyword (arduino, ch340, usb serial); optional interactive prompt"
arduino_bridge.py,49,70,HTTP,"send_signal_to_flask() - POST {process_no, action} to /api/arduino_signal endpoint on Flask server"
arduino_bridge.py,72,93,Parser,"parse_serial_message() - parse Arduino messages like P1START, P3STOP into (process_no, action) tuples"
arduino_bridge.py,95,172,Main Loop,"main() - argparse for port/baud/url/no-prompt, connect to serial port, infinite loop reading serial lines, parse and forward signals to Flask"
run_arduino_bridge.py,1,3,Imports,"Import os, subprocess, sys"
run_arduino_bridge.py,5,35,Launcher,"run_arduino_bridge() - change directory to target path and run arduino_bridge.py via subprocess"
jed_python.py,1,1,Test,"Print 'Hello world' - test/scratch file"
jed_python.py,4,12,Test,"FizzBuzz loop 0-99 - test/scratch file"
trialshit.py,1,5,Test,"Import DatabaseManager, instantiate db_manager - test/scratch file with commented-out connect/disconnect"
fix_ng_timer.js,1,17,Batch Fix,"Node.js script to batch-fix NG timer bug across process HTML files by injecting safeguard code"
requirements.txt,1,7,Dependencies,"Python dependencies: Flask 2.3.3, mysql-connector-python 8.2.0, pyserial 3.5, requests 2.31.0, pywin32 306, qrcode 8.2, Pillow 12.1.0"
material_setter_settings.json,1,ALL,Config,"Persists all material setter settings: JO database type, materials path, latency, page titles, column headers, action buttons, etc."
model_codes_no_bushing.json,1,ALL,Config,"List of model codes WITHOUT filter bushing (determines 25 vs 26 material rows)"
kitting_materials.json,1,ALL,Config,"Custom kitting material names per row number"
server_timer_state.json,1,ALL,State,"Persists server timers and counters across Flask restarts"
last_active_date.json,1,ALL,State,"Last date the system was active (for daily reset detection)"
qty_overrides.json,1,ALL,Config,"Manual quantity override values per job order"
custom_tests.json,1,ALL,Config,"Saved custom self-test definitions for calibration modal"
main_menu.html,1,50,HTML,"HTML head, CSS styles, header with title 'Main Menu'"
main_menu.html,311,464,HTML,"Module selection cards (Cycle Time Monitoring, Material Setter, etc.) + Settings modal with all setting buttons including CALIBRATION"
main_menu.html,530,1130,HTML/JS,"Settings sub-modals: JO Database, Materials Path, Latency, Elapsed Time, QR Hide/Unhide, CSV Export"
main_menu.html,1131,1251,HTML,"Calibration Modal and Self Testing Modal (test list, results display, ADD TEST form)"
main_menu.html,1280,1491,JavaScript,"All JavaScript: settings management, CSV export logic, self-testing functions (run tests, add/delete custom tests, results UI)"
material_setter.html,ALL,ALL,HTML/JS,"Material Setter / Kitting page: job order scan, material table (25-26 rows), kitting summary, QR code generation, operator scanning, MAIN_DB/KITTING_DB interaction"
process1.html,ALL,ALL,HTML/JS,"Process 1 dashboard: timer, START/STOP/NG/LINEOUT buttons, kitting counter, manpower warning, Arduino polling, server timer sync"
process2.html,ALL,ALL,HTML/JS,"Process 2 dashboard (same structure as process1.html)"
process3.html,ALL,ALL,HTML/JS,"Process 3 dashboard (same structure as process1.html)"
